[2024-01-13T10:28:15+0000] [PACMAN] Running 'pacman -Syu --root /d/a/msys2-installer/msys2-installer/_build/newmsys/msys64'
[2024-01-13T10:28:15+0000] [PACMAN] synchronizing package lists
[2024-01-13T10:28:18+0000] [PACMAN] starting core system upgrade
[2024-01-13T10:28:18+0000] [PACMAN] starting full system upgrade
[2024-01-13T10:28:19+0000] [PACMAN] Running 'pacman -S --noconfirm --root /d/a/msys2-installer/msys2-installer/_build/newmsys/msys64 filesystem msys2-runtime'
[2024-01-13T10:28:20+0000] [ALPM] transaction started
[2024-01-13T10:28:20+0000] [ALPM] installed filesystem (2023.02.07-1)
[2024-01-13T10:28:21+0000] [ALPM] installed msys2-runtime (3.4.10-4)
[2024-01-13T10:28:21+0000] [ALPM] transaction completed
[2024-01-13T10:28:21+0000] [PACMAN] Running 'pacman -S --noconfirm --root /d/a/msys2-installer/msys2-installer/_build/newmsys/msys64 base'
[2024-01-13T10:28:47+0000] [ALPM] transaction started
[2024-01-13T10:28:47+0000] [ALPM] installed bash (5.2.021-1)
[2024-01-13T10:28:48+0000] [ALPM] installed bash-completion (2.11-3)
[2024-01-13T10:28:48+0000] [ALPM] installed gcc-libs (13.2.0-2)
[2024-01-13T10:28:48+0000] [ALPM] installed libbz2 (1.0.8-4)
[2024-01-13T10:28:48+0000] [ALPM] installed libintl (0.22.4-1)
[2024-01-13T10:28:48+0000] [ALPM] installed libiconv (1.17-1)
[2024-01-13T10:28:48+0000] [ALPM] installed libexpat (2.5.0-1)
[2024-01-13T10:28:48+0000] [ALPM] installed libgettextpo (0.22.4-1)
[2024-01-13T10:28:48+0000] [ALPM] installed libasprintf (0.22.4-1)
[2024-01-13T10:28:49+0000] [ALPM] installed gettext (0.22.4-1)
[2024-01-13T10:28:49+0000] [ALPM] installed liblzma (5.4.5-1)
[2024-01-13T10:28:49+0000] [ALPM] installed liblz4 (1.9.4-1)
[2024-01-13T10:28:49+0000] [ALPM] installed libopenssl (3.2.0-1)
[2024-01-13T10:28:49+0000] [ALPM] installed libzstd (1.5.5-1)
